Feature Group,Count,Inferred Identity,Evidence,Confidence,Known Tool,Leakage Risk
AL_1 to AL_26,26,Population-specific allele frequencies (gnomAD exome sub-populations),"Values [0,1], right-skewed, grouped by missingness bands matching gnomAD population coverage; CAT_1 contains gnomAD population labels",HIGH,gnomAD (exome),LOW — allele frequencies are legitimate features
"AL_27 to AL_38 (low count, ~91% missing)",12,Rare population allele frequencies or sub-population annotations from smaller databases,"Very high missingness, small number available (~252), similar [0,1] range with binary flags",MEDIUM,Possibly gnomAD genome or very small sub-populations,LOW
AL_39 to AL_95 (triplet pattern: score + binary + binary),57,Population allele frequencies from multiple databases with availability and filtering flags,"Clear triplet pattern: continuous AF [0,0.9], binary data-present flag, binary filter/pass flag. n~1514 or n~1197.",HIGH,"gnomAD genome populations, possibly AllofUs sub-populations, TopMed, others",LOW — population frequencies are legitimate
AL_96 to AL_98,3,Additional population frequency annotation or quality metrics,Similar pattern to AL_39-AL_95 but slightly different structure,MEDIUM,Unknown database/annotation,LOW
AL_99 to AL_185 (continued triplet pattern),87,Additional population-specific allele frequencies from AllofUs and possibly other databases,Triplet pattern continues; CAT_2 encodes AllofUs population labels; n~1486-1197,HIGH,"AllofUs, gnomAD v4, possibly BRAVO/TopMed",LOW
AL_186 to AL_222,37,Further population frequencies or in-silico predictor scores,"[0,1] scores with various missingness patterns; possibly transition from AF to predictor scores",MEDIUM,Transition zone — possibly a mix of AF and predictor outputs,"MEDIUM — if predictor scores, circularity possible"
AL_223 to AL_334,112,In-silico predictor scores and annotation features,"Many binary + continuous pairs; some constant columns; [0,1] range but with different missingness patterns than AF features",MEDIUM,"Possibly SIFT, PolyPhen, FATHMM, MutationTaster, REVEL, BayesDel, CADD_phred normalized, etc.",HIGH — many of these may be ClinVar-trained predictors
EK_1,1,CADD Phred-scaled score (truncated) OR another conservation/deleteriousness metric,"Range [0.856, 6.170], mean=5.26 — CADD phred typically 0-40+, so this may be log-transformed or truncated. Alternatively a GnomAD constraint metric (pLI, LOEUF).",MEDIUM,CADD phred (compressed) or gene constraint score,LOW if CADD; MEDIUM if gene constraint
EK_2,1,CADD raw score OR FATHMM score,"Range [-11.9, 6.17], continuous — matches CADD raw score range; also plausible as FATHMM",MEDIUM,CADD raw or FATHMM,LOW
EK_3,1,Another deleteriousness/conservation raw score,"Range [-11.37, 7.01], 45% missing — similar to EK_2 but more missing",LOW,"Unknown — possibly Eigen, DANN raw, or MutationAssessor",LOW to MEDIUM
EK_4,1,REVEL score or BayesDel_addAF or ClinPred,"Range [0, 1], mean=0.897, highly right-skewed — matches REVEL or BayesDel distribution",MEDIUM-HIGH,"REVEL, BayesDel, or ClinPred",HIGH — ClinVar-trained meta-predictor
EK_5,1,"Another meta-predictor [0,1] score or phastCons","Range [0, 1], mean=0.805 — could be phastCons (conservation) or MetaLR/MetaSVM",LOW-MEDIUM,phastCons or MetaLR/MetaSVM,LOW if phastCons; HIGH if MetaSVM/MetaLR
EK_6,1,REVEL or BayesDel_noAF or AlphaMissense,"Range [0, 1], mean=0.906, very high mean — matches REVEL or AlphaMissense for pathogenic-enriched dataset",MEDIUM,"REVEL, BayesDel_noAF, or AlphaMissense",LOW if AlphaMissense; HIGH if REVEL/BayesDel
EK_7,1,phyloP (100-way or 470-way vertebrate),"Range [-3.32, 10.0], mean=5.94 — EXACTLY matches phyloP score range and distribution",VERY HIGH,phyloP,NONE — purely evolutionary conservation
EK_8,1,Amino acid substitution matrix score (Grantham/Blosum) or SiPhy,"Range [-5.72, 0.756], mean=0.559 — unusual range, possibly normalized substitution score",LOW,Unknown — possibly normalized Grantham distance or SiPhy omega,LOW
EK_9,1,GERP++ RS score,"Range [-20, 11.93], mean=7.48 — EXACTLY matches GERP++ rejected substitutions range",VERY HIGH,GERP++,NONE — purely evolutionary conservation
CAT_1,1,gnomAD population with maximum allele frequency,"Values: gnomADe_EAS, gnomADg_NFE, etc. — clearly gnomAD sub-population labels",VERY HIGH,gnomAD (popmax population),LOW
CAT_2,1,AllofUs population label,"Values: AllofUs_EUR, AllofUs_AFR, etc.",VERY HIGH,AllofUs,LOW
CAT_3 + CAT_4 + CAT_5,3,"Reference genotype across databases (likely gnomAD, AllofUs, another)","Values: C/C, T/T, G/G, A/A, ./. — homozygous reference genotype representations",HIGH,Genotype fields from multiple databases,LOW
CAT_6,1,"Genomic region flag (low complexity, segmental duplication, decoy)","Values: lcr, segdup, decoy&segdup — 97.7% missing (most variants not in these regions)",VERY HIGH,UCSC/gnomAD region annotations,NONE
AA_1 + AA_2,2,Reference and alternate amino acids of the missense variant,Single amino acid letter codes — directly defines the missense substitution,CERTAIN,Variant annotation (VEP/Ensembl/RefSeq),NONE — legitimate variant feature
