Risk ID,Risk,Category,Severity,Probability,Impact,Mitigation
R01,"EK features are ClinVar-trained meta-predictors (REVEL, BayesDel, ClinPred)",Circularity,HIGH,HIGH,Model learns to rely on circular features; generalization to novel variants is poor; competition judges may penalize,Train models WITH and WITHOUT EK features; report both; discuss circularity in report; compare performance gap
R02,"Labels derived from ClinVar, same source as training data for embedded predictors",Circularity,HIGH,VERY HIGH,Artificial performance inflation; model does not generalize to truly novel variants,Acknowledge in report; show EK-excluded model performance as 'honest' baseline; discuss clinical implications
R03,CFTR panel too small (n=111) for reliable modeling,Statistical,HIGH,CERTAIN,"Overfitting, high CV variance, unreliable performance estimates",Use global model for CFTR; only calibrate threshold on panel; bootstrap CI; regularize heavily
R04,Distribution shift between MASTER and panel datasets,Generalization,MEDIUM,HIGH,"Global model may underperform on panels, especially PAH (57 shifted features)",Evaluate per-panel; panel-specific calibration; domain adaptation if severe
R05,54.9% mean row-level missingness; critical information may be lost,Data Quality,MEDIUM,CERTAIN,Reduced effective sample size; imputation errors; biased models,Use GBDT native missing handling; add missingness indicator features; avoid aggressive imputation
R06,Feature anonymization prevents feature validation and biological interpretation,Interpretability,MEDIUM,CERTAIN,Cannot verify feature provenance; cannot use domain knowledge for feature engineering; limited SHAP interpretation,Infer feature groups from patterns; use SHAP for relative importance; discuss limitations in report
R07,Variant_ID overlap between MASTER and panels causes train-test leakage,Leakage,HIGH,HIGH,Overoptimistic performance; unfair advantage if competition uses overlapping test set,Use Variant_ID-aware splits; never leak MASTER variants into panel test sets
R08,Class imbalance (73.3% pathogenic) biases threshold and metrics,Evaluation,MEDIUM,CERTAIN,Accuracy misleading; default threshold suboptimal; precision-recall trade-off critical,Use PR-AUC alongside ROC-AUC; class weights; calibrated probabilities; sensitivity-optimized threshold
R09,Differential missingness by label creates spurious predictive signal,Bias,MEDIUM,HIGH (KANSER: 57% differential missingness),Model may learn 'missing = pathogenic' rather than genuine biological signal,Add missingness indicators explicitly; analyze SHAP values for missingness features; report this risk
R10,Overfitting to competition training data if hyperparameter search is too aggressive,Overfitting,MEDIUM,MEDIUM,Poor generalization on competition test set,Strict nested CV; conservative hyperparameter ranges; early stopping; ensemble for stability
