Feature,DetectedType,Issue,Skewness,NOutliers,TreeHandling,LinearHandling,Risk
AL_1,prob_score,extreme_skew,6.2,29,no transform needed,leave,LOW
AL_2,prob_score,extreme_skew,5.86,30,no transform needed,leave,LOW
AL_3,prob_score,extreme_skew,6.9,48,no transform needed,leave,LOW
AL_4,prob_score,extreme_skew,5.81,39,no transform needed,leave,LOW
AL_5,prob_score,extreme_skew,6.61,29,no transform needed,leave,LOW
AL_6,prob_score,extreme_skew,5.67,38,no transform needed,leave,LOW
AL_7,prob_score,extreme_skew,13.25,220,no transform needed,leave,LOW
AL_8,prob_score,extreme_skew,11.14,223,no transform needed,leave,LOW
AL_9,prob_score,extreme_skew,13.71,239,no transform needed,leave,LOW
AL_10,prob_score,extreme_skew,12.64,247,no transform needed,leave,LOW
AL_11,prob_score,extreme_skew,12.67,222,no transform needed,leave,LOW
AL_12,prob_score,extreme_skew,12.13,247,no transform needed,leave,LOW
AL_13,prob_score,extreme_skew,13.11,240,no transform needed,leave,LOW
AL_14,prob_score,extreme_skew,13.11,231,no transform needed,leave,LOW
AL_15,prob_score,extreme_skew,11.86,247,no transform needed,leave,LOW
AL_16,prob_score,extreme_skew,10.93,132,no transform needed,leave,LOW
AL_17,prob_score,extreme_skew,9.56,135,no transform needed,leave,LOW
AL_18,prob_score,extreme_skew,10.56,134,no transform needed,leave,LOW
AL_19,prob_score,extreme_skew,11.56,149,no transform needed,leave,LOW
AL_20,prob_score,extreme_skew,11.01,136,no transform needed,leave,LOW
AL_21,prob_score,extreme_skew,10.34,138,no transform needed,leave,LOW
AL_22,prob_score,extreme_skew,10.95,140,no transform needed,leave,LOW
AL_23,prob_score,extreme_skew,11.11,128,no transform needed,leave,LOW
AL_24,prob_score,extreme_skew,11.05,142,no transform needed,leave,LOW
AL_25,prob_score,extreme_skew,10.18,155,no transform needed,leave,LOW
AL_26,prob_score,extreme_skew,9.72,200,no transform needed,leave,LOW
AL_27,prob_score,none,-0.33,0,no transform needed,leave,LOW
AL_28,prob_score,extreme_skew,7.31,22,no transform needed,leave,LOW
AL_29,prob_score,none,-0.36,0,no transform needed,leave,LOW
AL_30,prob_score,extreme_skew,6.47,26,no transform needed,leave,LOW
AL_31,prob_score,none,-0.04,0,no transform needed,leave,LOW
AL_32,prob_score,extreme_skew,8.48,26,no transform needed,leave,LOW
AL_33,prob_score,none,-0.01,0,no transform needed,leave,LOW
AL_34,prob_score,extreme_skew,7.8,40,no transform needed,leave,LOW
AL_35,prob_score,none,-0.13,0,no transform needed,leave,LOW
AL_36,prob_score,extreme_skew,7.77,23,no transform needed,leave,LOW
AL_37,prob_score,none,-0.28,0,no transform needed,leave,LOW
AL_38,prob_score,extreme_skew,7.06,22,no transform needed,leave,LOW
