Model,Year,Category,Reference,Input Requirements,Output,Prediction Target,Missense Specific,Disease Specific,Pretrained Scores Available,Source Code Available,Works Without Coordinates,Works Without Protein Seq,Works From Tabular Only,Likely Overlap With Dataset,Leakage Risk,Competition Usability,Recommendation
SIFT,2003.0,Classical score-based,"Ng & Henikoff, Genome Res 2003",Protein sequence + substitution position,"Score 0-1 (lower = more damaging), binary tolerated/damaging",Functional impact (tolerance),Yes,No (general),"Yes (dbNSFP, VEP)",Yes (sift.bii.a-star.edu.sg),No — needs protein alignment,No,No (needs sequence context),"Possibly embedded as an AL feature (score [0,1], inverted)",Medium — trained independently of ClinVar labels,Low (cannot query without coordinates),Likely already embedded; use as conceptual reference
PolyPhen-2,2010.0,Classical score-based,"Adzhubei et al., Nat Methods 2010",Protein sequence + substitution + structure features,"Score 0-1 (higher = more damaging), HumDiv/HumVar models",Functional impact / pathogenicity,Yes,No (HumVar is disease-oriented),Yes (dbNSFP),Yes (genetics.bwh.harvard.edu/pph2),No,No,No,"Possibly embedded as AL feature ([0,1] score)",Medium — HumVar trained on disease mutations,Low,Likely already embedded; cite in report
MutationTaster,2010.0,Classical score-based,"Schwarz et al., Nat Methods 2010",Genomic coordinates + alleles,"Score + categorical prediction (disease_causing, polymorphism)",Pathogenicity,No (handles all variant types),No,Yes (dbNSFP),Web-only (mutationtaster.org),No,No,No,Possibly embedded,High — uses ClinVar/HGMD directly,Low,Cite only; HIGH circularity risk if labels from ClinVar
MutationAssessor,2011.0,Classical score-based,"Reva et al., Genome Res 2011",Protein variant (UniProt ID + AA change),"Functional impact score (-5 to +5), categorical",Functional impact,Yes,No,Yes (dbNSFP),Limited,No,No,No,Possibly embedded,"Low — conservation-based, not ClinVar-trained",Low,Possibly embedded; cite in report
PROVEAN,2012.0,Classical score-based,"Choi et al., PLoS One 2012",Protein sequence + substitution,"Score (lower = more deleterious), threshold -2.5",Functional impact (deleteriousness),No (handles indels too),No,Yes (dbNSFP),Yes (provean.jcvi.org),No — needs protein sequence,No,No,Possibly embedded,"Low — sequence-based, not label-trained",Low,Possibly embedded; cite in report
FATHMM,2013.0,Classical score-based,"Shihab et al., Hum Mutat 2013",Protein ID + substitution OR genomic coordinates,"Score (-20 to +20), lower = more damaging",Functional impact / pathogenicity,Yes (FATHMM-MKL handles non-coding),No (but disease-specific weighting exists),Yes (dbNSFP),Web-based (fathmm.biocompute.org.uk),No,No,No,Possibly embedded,Medium,Low,Possibly embedded; cite in report
REVEL,2016.0,Ensemble meta-predictor,"Ioannidis et al., AJHG 2016",Precomputed — needs genomic coordinates for lookup,Score 0-1 (higher = more pathogenic),Pathogenicity,Yes,No,"Yes (widely available, dbNSFP)",Precomputed scores only,No — lookup-based,Lookup only,No,"HIGH — EK_4 or EK_6 likely REVEL (range [0,1], mean ~0.9)","HIGH — meta-predictor trained on disease-associated variants, potential circularity if ClinVar-derived labels",Low (cannot query); but likely already IN the dataset,Almost certainly already an EK feature; use as-is but report circularity risk
BayesDel,2019.0,Ensemble meta-predictor,"Feng, Bioinformatics 2019",Precomputed scores via dbNSFP,"Score (continuous), addAF and noAF variants",Pathogenicity / deleteriousness,Yes (primarily),No,Yes (dbNSFP),Limited,No,Lookup only,No,Possible — another EK feature candidate,HIGH — uses ClinVar-derived training data,Low,Possibly embedded as EK feature; cite in report
MetaSVM / MetaLR,2015.0,Ensemble meta-predictor,"Dong et al., Hum Mol Genet 2015",Precomputed via dbNSFP,Score + binary prediction,Pathogenicity,Yes,No,Yes (dbNSFP),Limited,No,Lookup,No,Possible EK feature,HIGH — ClinVar-trained,Low,Possibly embedded; cite only
ClinPred,2018.0,Ensemble meta-predictor,"Alirezaie et al., AJHG 2018",Precomputed via dbNSFP,Score 0-1,Clinical pathogenicity,Yes,No,Yes (dbNSFP),Limited,No,Lookup,No,Possible EK feature,VERY HIGH — explicitly trained on ClinVar labels,Low,"Highest circularity risk; if embedded, must report this"
M-CAP,2016.0,Ensemble meta-predictor,"Jagadeesh et al., Nat Genet 2016",Precomputed,Score 0-1,Pathogenicity,Yes,No,Yes (dbNSFP),Limited,No,Lookup,No,Possible,HIGH,Low,Cite only
CADD,0.9975235264982665,Deleteriousness annotation,"Kircher et al., Nat Genet 2014; Rentzsch et al., 2019",Genomic coordinates + alleles,Raw score + Phred-scaled score (1-99),"Deleteriousness (general, not pathogenicity)",No (all variant types),No,Yes (cadd.gs.washington.edu),Yes,No,Needs coordinates,No,"HIGH — EK_1 (range [0.86, 6.17]) or EK_2 (range [-11.9, 6.17]) may be CADD phred or raw score","Low — trained on simulated vs fixed variants, NOT ClinVar",Low (cannot query),Very likely already an EK feature; low circularity — safe to use
DANN,2015.0,Deleteriousness annotation,"Quang et al., Bioinformatics 2015",Genomic coordinates,Score 0-1,Deleteriousness,No,No,Yes (dbNSFP),Limited,No,Needs coordinates,No,Possible,Low — similar training to CADD,Low,Possibly embedded; cite only
Eigen,2016.0,Deleteriousness annotation,"Ionita-Laza et al., Nat Genet 2016",Genomic coordinates,Eigen score + Eigen-PC score,Deleteriousness (unsupervised),No,No,Yes (dbNSFP),Yes,No,Needs coordinates,No,Possible,Low — unsupervised approach,Low,Cite only
VARITY,2022.0,Missense-specific ML,"Wu et al., Science 2021",Variant identifier (protein + AA change),Score 0-1 (pathogenicity probability),Pathogenicity,Yes,No,Yes (varity.msl.ubc.ca),Yes (GitHub),No — needs protein variant ID,Needs variant identification,No,Possibly an EK feature,Medium — uses multiple data sources including some clinical data,Low,Cite in report as benchmark; cannot use directly
MVP / gMVP,2021.0,Missense-specific ML,"Qi et al., bioRxiv 2021",Precomputed via dbNSFP,Score 0-1,Pathogenicity,Yes,No,Yes (dbNSFP),Limited,No,Lookup,No,Possible EK feature,Medium,Low,Possibly embedded; cite only
MutPred2,2017.0,Missense-specific ML,"Pejaver et al., Nat Commun 2020",Protein sequence + substitution,Score 0-1 + molecular mechanism predictions,Pathogenicity + functional impact mechanisms,Yes,No,Yes (dbNSFP for score only),Yes (mutpred.org),Needs protein sequence,No,No,Possible,Medium,Low,Cite in report; potentially valuable for explainability discussion
AlphaMissense,2023.0,Protein language model,"Cheng et al., Science 2023",Protein sequence + variant position (or precomputed lookup),Score 0-1 (pathogenicity probability),Pathogenicity,Yes,No,Yes (downloadable for all possible missense variants),"Yes (GitHub, Zenodo)",Needs protein + position for lookup,Precomputed lookup available,No,"Possible EK feature (score [0,1]); HIGH probability if dataset is recent (2024+)","LOW — trained on primate sequence data + protein structure, NOT ClinVar labels",Low (cannot look up without coordinates),STATE OF THE ART for missense; likely embedded as EK feature; very safe from circularity
EVE,2021.0,Protein language model / evolutionary,"Frazer et al., Nature 2021",Gene-specific model + variant position,"EVE score (evolutionary index), binary classification",Pathogenicity via evolutionary constraint,Yes,"No (evolutionary, gene-specific)",Yes (evemodel.org),Yes (GitHub),Needs gene + protein position,"Lookup available for ~3,000 genes",No,Possible,"LOW — evolutionary model, no clinical label training",Low,Cite in report; conceptually important for understanding unsupervised approaches
ESM1b / ESM-1v / ESM2,-2.0,Protein language model,"Rives et al., PNAS 2021; Meier et al., NeurIPS 2021; Lin et al., Science 2023",Protein sequence,Log-likelihood ratio (variant effect score),Functional impact / fitness effect,Yes (via log-likelihood scoring),No,Model weights available; scores computable,Yes (GitHub: facebookresearch/esm),Needs protein sequence,No,No,Unlikely — too new/specialized for most dbNSFP versions,"LOW — unsupervised protein LM, no clinical labels",Low (cannot apply without protein sequence),Cite in report for discussion of PLM approaches; cannot use directly
